country_code,Gold Medal,Silver Medal,Bronze Medal,Total
USA,30,38,35,103
CHN,29,25,19,73
AUS,18,14,13,45
FRA,14,19,21,54
GBR,13,17,21,51
KOR,13,8,7,28
JPN,13,7,13,33
NED,11,6,8,25
ITA,10,11,9,30
GER,9,8,5,22
CAN,6,5,10,21
NZL,5,6,2,13
IRL,4,0,3,7
ROU,3,4,1,8
UKR,3,3,4,10
HUN,3,3,3,9
SWE,3,3,3,9
UZB,3,0,2,5
BRA,2,5,8,15
ESP,2,3,8,13
IRI,2,2,2,6
CRO,2,1,3,6
CUB,2,1,3,6
AZE,2,1,1,4
BEL,2,0,4,6
HKG,2,0,2,4
PHI,2,0,2,4
INA,2,0,0,2
SRB,2,0,0,2
ISR,1,4,1,6
KAZ,1,3,3,7
JAM,1,3,2,6
THA,1,3,2,6
AIN,1,3,0,4
SUI,1,2,4,7
DEN,1,2,1,4
GEO,1,2,1,4
ECU,1,2,0,3
GRE,1,1,5,7
POL,1,1,4,6
KEN,1,1,3,5
RSA,1,1,2,4
ARG,1,1,0,2
CHI,1,1,0,2
LCA,1,1,0,2
UGA,1,1,0,2
TPE,1,0,5,6
BUL,1,0,3,4
AUT,1,0,1,2
CZE,1,0,1,2
GUA,1,0,1,2
MAR,1,0,1,2
NOR,1,0,1,2
ALG,1,0,0,1
BOT,1,0,0,1
BRN,1,0,0,1
DMA,1,0,0,1
PAK,1,0,0,1
SLO,1,0,0,1
PRK,0,2,4,6
TUR,0,2,3,5
MEX,0,2,2,4
ARM,0,2,1,3
ETH,0,2,0,2
IND,0,1,4,5
KGZ,0,1,3,4
LTU,0,1,2,3
KOS,0,1,1,2
POR,0,1,1,2
TUN,0,1,1,2
COL,0,1,0,1
CYP,0,1,0,1
FIJ,0,1,0,1
JOR,0,1,0,1
MGL,0,1,0,1
TJK,0,0,3,3
DOM,0,0,2,2
GRN,0,0,2,2
MAS,0,0,2,2
MDA,0,0,2,2
CPV,0,0,1,1
EGY,0,0,1,1
EOR,0,0,1,1
PER,0,0,1,1
SVK,0,0,1,1
ZAM,0,0,1,1
