date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,start_order,bib
2024-08-08T18:39:14+02:00,WLFM61KG--------------FNL-000100--,WLFM61KG,Men's 61kg,Men's 61kg,Men's 61kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1918372,LI Fabin,Person,CHN,China,1.0,310,WEIGHT,,8,8
2024-08-08T18:39:14+02:00,WLFM61KG--------------FNL-000100--,WLFM61KG,Men's 61kg,Men's 61kg,Men's 61kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1898059,SILACHAI Theerapong,Person,THA,Thailand,2.0,303,WEIGHT,,4,4
2024-08-08T18:39:14+02:00,WLFM61KG--------------FNL-000100--,WLFM61KG,Men's 61kg,Men's 61kg,Men's 61kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1917153,MORRIS Hampton,Person,USA,United States,3.0,298,WEIGHT,,12,12
2024-08-08T18:39:14+02:00,WLFM61KG--------------FNL-000100--,WLFM61KG,Men's 61kg,Men's 61kg,Men's 61kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1545512,BIN KASDAN Mohamad Aniq,Person,MAS,Malaysia,4.0,297,WEIGHT,,5,5
2024-08-08T18:39:14+02:00,WLFM61KG--------------FNL-000100--,WLFM61KG,Men's 61kg,Men's 61kg,Men's 61kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1936400,BARU Morea,Person,PNG,Papua New Guinea,5.0,279,WEIGHT,,11,11
2024-08-08T18:39:14+02:00,WLFM61KG--------------FNL-000100--,WLFM61KG,Men's 61kg,Men's 61kg,Men's 61kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1551445,MISHVELIDZE Shota,Person,GEO,Georgia,6.0,256,WEIGHT,,6,6
2024-08-08T18:39:14+02:00,WLFM61KG--------------FNL-000100--,WLFM61KG,Men's 61kg,Men's 61kg,Men's 61kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1540310,ERATI Kaimauri,Person,KIR,Kiribati,7.0,220,WEIGHT,,1,1
2024-08-08T18:39:14+02:00,WLFM61KG--------------FNL-000100--,WLFM61KG,Men's 61kg,Men's 61kg,Men's 61kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1903002,DIMOV Ivan Petkov,Person,BUL,Bulgaria,,,IRM,DNF,2,2
2024-08-08T18:39:14+02:00,WLFM61KG--------------FNL-000100--,WLFM61KG,Men's 61kg,Men's 61kg,Men's 61kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1941696,IRAWAN Eko,Person,INA,Indonesia,,,IRM,DNF,3,3
2024-08-08T18:39:14+02:00,WLFM61KG--------------FNL-000100--,WLFM61KG,Men's 61kg,Men's 61kg,Men's 61kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1568730,MASSIDDA Sergio,Person,ITA,Italy,,,IRM,DNF,7,7
2024-08-08T18:39:14+02:00,WLFM61KG--------------FNL-000100--,WLFM61KG,Men's 61kg,Men's 61kg,Men's 61kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1563371,TRINH van Vinh,Person,VIE,Vietnam,,,IRM,DNF,9,9
2024-08-08T18:39:14+02:00,WLFM61KG--------------FNL-000100--,WLFM61KG,Men's 61kg,Men's 61kg,Men's 61kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1981600,CENIZA John Febuar,Person,PHI,Philippines,,,IRM,DNF,10,10
2024-08-08T21:52:21+02:00,WLFM73KG--------------FNL-000100--,WLFM73KG,Men's 73kg,Men's 73kg,Men's 73kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1941786,JUNIANSYAH Rizki,Person,INA,Indonesia,1.0,354,WEIGHT,,12,12
2024-08-08T21:52:21+02:00,WLFM73KG--------------FNL-000100--,WLFM73KG,Men's 73kg,Men's 73kg,Men's 73kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1898067,WICHUMA Weeraphon,Person,THA,Thailand,2.0,346,WEIGHT,,10,10
2024-08-08T21:52:21+02:00,WLFM73KG--------------FNL-000100--,WLFM73KG,Men's 73kg,Men's 73kg,Men's 73kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1902787,ANDREEV Bozhidar Dimitrov,Person,BUL,Bulgaria,3.0,344,WEIGHT,,1,1
2024-08-08T21:52:21+02:00,WLFM73KG--------------FNL-000100--,WLFM73KG,Men's 73kg,Men's 73kg,Men's 73kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1565974,OZBEK Muhammed,Person,TUR,Türkiye,4.0,341,WEIGHT,,2,2
2024-08-08T21:52:21+02:00,WLFM73KG--------------FNL-000100--,WLFM73KG,Men's 73kg,Men's 73kg,Men's 73kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1543507,MOSQUERA Luis,Person,COL,Colombia,5.0,340,WEIGHT,,7,7
2024-08-08T21:52:21+02:00,WLFM73KG--------------FNL-000100--,WLFM73KG,Men's 73kg,Men's 73kg,Men's 73kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1891186,MIYAMOTO Masanori,Person,JPN,Japan,6.0,338,WEIGHT,,4,4
2024-08-08T21:52:21+02:00,WLFM73KG--------------FNL-000100--,WLFM73KG,Men's 73kg,Men's 73kg,Men's 73kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1894405,BAK Joohyo,Person,KOR,Korea,7.0,334,WEIGHT,,8,8
2024-08-08T21:52:21+02:00,WLFM73KG--------------FNL-000100--,WLFM73KG,Men's 73kg,Men's 73kg,Men's 73kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1942322,BEN HNIA Karem,Person,TUN,Tunisia,8.0,330,WEIGHT,,6,6
2024-08-08T21:52:21+02:00,WLFM73KG--------------FNL-000100--,WLFM73KG,Men's 73kg,Men's 73kg,Men's 73kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1567021,KINGUE MATAM Bernardin,Person,FRA,France,9.0,320,WEIGHT,,9,9
2024-08-08T21:52:21+02:00,WLFM73KG--------------FNL-000100--,WLFM73KG,Men's 73kg,Men's 73kg,Men's 73kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1901303,MAYORA PERNIA Julio,Person,VEN,Venezuela,,,IRM,DNF,3,3
2024-08-08T21:52:21+02:00,WLFM73KG--------------FNL-000100--,WLFM73KG,Men's 73kg,Men's 73kg,Men's 73kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1948056,SUHAREVS Ritvars,Person,LAT,Latvia,,,IRM,DNF,5,5
2024-08-08T21:52:21+02:00,WLFM73KG--------------FNL-000100--,WLFM73KG,Men's 73kg,Men's 73kg,Men's 73kg,FINISHED,M,Weightlifting,WLF,South Paris Arena 6,1918373,SHI Zhiyong,Person,CHN,China,,,IRM,DNF,11,11
2024-08-08T18:39:21+02:00,WLFW49KG--------------FNL-000100--,WLFW49KG,Women's 49kg,Women's 49kg,Women's 49kg,FINISHED,W,Weightlifting,WLF,South Paris Arena 6,1918377,HOU Zhihui,Person,CHN,China,1.0,206,WEIGHT,,2,
2024-08-08T18:39:21+02:00,WLFW49KG--------------FNL-000100--,WLFW49KG,Women's 49kg,Women's 49kg,Women's 49kg,FINISHED,W,Weightlifting,WLF,South Paris Arena 6,1550148,CAMBEI Mihaela Valentina,Person,ROU,Romania,2.0,205,WEIGHT,,7,
2024-08-08T18:39:21+02:00,WLFW49KG--------------FNL-000100--,WLFW49KG,Women's 49kg,Women's 49kg,Women's 49kg,FINISHED,W,Weightlifting,WLF,South Paris Arena 6,1898024,KHAMBAO Surodchana,Person,THA,Thailand,3.0,200,WEIGHT,,5,
2024-08-08T18:39:21+02:00,WLFW49KG--------------FNL-000100--,WLFW49KG,Women's 49kg,Women's 49kg,Women's 49kg,FINISHED,W,Weightlifting,WLF,South Paris Arena 6,1537012,SAIKHOM Mirabai Chanu,Person,IND,India,4.0,199,WEIGHT,,10,
2024-08-08T18:39:21+02:00,WLFW49KG--------------FNL-000100--,WLFW49KG,Women's 49kg,Women's 49kg,Women's 49kg,FINISHED,W,Weightlifting,WLF,South Paris Arena 6,1917149,DELACRUZ Jourdan,Person,USA,United States,5.0,195,WEIGHT,,8,
